Flight_No.,Booking_Code,Departure_Timestamp,Arrival_Timestamp,Passenger_Name,Seat_No.,Class,Fare,Extras,Loyalty_Points,Status,Gate,Terminal,Baggage_Claim,Duration_Hours,Layovers,Layover_Locations,Aircraft_Type,Pilot,Cabin_Crew,Inflight_Entertainment,Meal_Option,Wifi_Available,Window_Seat,Aisle_Seat,Emergency_Exit_Row,Number_of_Stops,Reward_Program_Member,Airline_Name
2637,BQLF,2023-06-26 13:48:45,2023-10-30 21:01:47,Name_BANUL,SeatTWV,Economy,436.12,Meal,3649,Cancelled,GateZN,A,ClaimJLO,3031.2,1,LOCWFQ,TypeRUH,Pilot_EYZH,Crew_DGAL,True,Non-Vegetarian,Not Available,True,False,False,1,True,Alaska Airlines
6966,BZIL,2023-04-27 14:05:17,2023-10-27 09:12:24,Name_KANHR,SeatIGS,Economy,965.8,No Extras,0,Pending,GateMH,D,ClaimCLJ,4387.1,1,LOCGGR,TypeSRC,Pilot_OKTY,Crew_VNDX,False,Vegetarian,Not Available,False,True,False,1,False,JetBlue Airways
5670,BQPB,2023-03-31 12:47:06,2023-12-30 22:28:40,Name_ECVFX,SeatJUH,Economy,329.94,Meal,0,Pending,GateUU,C,ClaimMPS,6585.7,1,LOCLXB,TypeLSA,Pilot_UQZR,Crew_PKJB,False,Vegan,Available,False,True,True,1,False,Air Canada
6203,BRPJ,2023-03-01 10:53:22,2023-08-04 02:46:37,Name_UEUYB,SeatUUC,Economy,165.07,Meal,0,Confirmed,GateHX,A,ClaimUTO,3735.9,0,LOCOGA,TypePNZ,Pilot_OLHE,Crew_AHUN,False,Vegetarian,Not Available,False,True,False,0,True,American Airline
6134,BSDG,2023-03-07 13:46:28,2023-03-30 07:10:26,Name_CDWZA,SeatLTY,Business,491.32,Meal,0,Cancelled,GateXU,B,ClaimIKY,545.4,0,LOCWVX,TypeDLG,Pilot_DJHP,Crew_DZUM,True,Non-Vegetarian,Not Available,True,False,False,0,True,Frontier Airlines
2890,BPSW,2023-01-17 02:58:15,2023-10-24 11:42:36,Name_PSZWH,SeatYPS,First,533.31,Meal,0,Confirmed,GateEP,B,ClaimHCR,6728.7,2,LOCBXP,TypeENY,Pilot_MQAP,Crew_SIMT,True,Non-Vegetarian,Available,False,True,False,2,True,American Airline
4205,BEEW,2023-05-28 07:17:26,2023-09-23 12:03:42,Name_BCNGM,SeatUHU,Business,438.34,Meal,0,Pending,GateSU,C,ClaimZGA,2836.8,0,LOCEMT,TypeVRD,Pilot_PKTI,Crew_MXGP,False,Non-Vegetarian,Not Available,True,False,True,0,False,JetBlue Airways
9669,BWGY,2023-03-05 06:40:04,2023-11-17 19:12:05,Name_GPCZE,SeatGLP,Economy,798.54,Extra Baggage,704,Cancelled,GateHM,D,ClaimEGR,6180.5,1,LOCZZN,TypeWRC,Pilot_BYQB,Crew_TGMA,True,Vegan,Not Available,False,True,False,1,True,Alaska Airlines
3366,BQAC,2023-01-14 17:37:22,2023-12-10 22:33:03,Name_WCXOT,SeatJCR,First,519.29,Meal,0,Cancelled,GateDT,D,ClaimRPX,7924.9,1,LOCJIO,TypeWYU,Pilot_MIRC,Crew_FMOP,False,Vegetarian,Available,True,False,True,1,True,United Airlines
8559,BPVB,2023-09-28 12:15:00,2023-12-14 00:23:18,Name_KWREV,SeatRKY,Economy,340.43,No Extras,0,Pending,GateOL,C,ClaimLPL,1836.1,2,LOCWUW,TypeTSO,Pilot_OQNZ,Crew_PTQN,True,No Meal,Not Available,True,False,False,2,True,Air France
3526,BYAU,2023-07-12 20:20:27,2023-10-25 03:12:24,Name_MANII,SeatAOM,First,512.05,No Extras,0,Cancelled,GateUZ,A,ClaimZQN,2502.9,2,LOCXAY,TypePPK,Pilot_IFGC,Crew_ZTNM,False,No Meal,Not Available,False,True,True,2,False,JetBlue Airways
8807,BGJC,2023-04-27 03:05:02,2023-05-24 13:28:20,Name_DUYZB,SeatAOR,Economy,904.61,Meal,2303,Pending,GateYD,B,ClaimBGD,658.4,1,LOCFQE,TypeVKK,Pilot_CMCG,Crew_IACU,True,Vegan,Not Available,True,False,False,1,True,Lufthansa
1366,BRCG,2023-01-09 18:11:31,2023-12-01 21:14:39,Name_PETRB,SeatVFV,Business,868.56,Meal,0,Confirmed,GateQI,B,ClaimKEB,7827.1,1,LOCFGU,TypeYHI,Pilot_MUAC,Crew_QYCQ,True,Vegetarian,Available,False,True,False,1,True,Emirates
7521,BOAX,2023-06-05 06:21:09,2023-06-26 22:04:22,Name_NOYJP,SeatFOF,Economy,672.46,Meal,0,Pending,GateTO,A,ClaimQCC,519.7,2,LOCXPO,TypeVCK,Pilot_JVCD,Crew_FSCS,False,Vegetarian,Not Available,True,False,False,2,True,KLM Royal Dutch Airlines
7606,BSEZ,2023-09-11 16:44:33,2023-10-11 08:12:21,Name_HZZXX,SeatXVY,First,668.34,No Extras,0,Pending,GateGI,A,ClaimYSE,711.5,0,LOCITG,TypeHVZ,Pilot_GLYB,Crew_XKNC,False,Non-Vegetarian,Available,True,False,True,0,False,Alaska Airlines
1012,BUVG,2023-01-24 12:43:37,2023-09-21 05:02:30,Name_UNTJM,SeatNUN,First,622.34,Extra Baggage,0,Pending,GateMI,D,ClaimGOV,5752.3,2,LOCLWB,TypeTFN,Pilot_ZEBD,Crew_DMDF,False,Vegetarian,Available,True,False,False,2,False,Lufthansa
9727,BKAV,2023-05-19 02:55:56,2023-07-04 16:59:31,Name_SBZEN,SeatTQK,First,267.69,Extra Baggage,0,Pending,GateEL,A,ClaimLMN,1118.1,1,LOCIFM,TypeOOS,Pilot_OVSG,Crew_OYGQ,False,Vegan,Available,False,True,True,1,True,Frontier Airlines
4239,BBNJ,2023-01-29 03:21:53,2023-09-08 07:55:52,Name_XUWUZ,SeatRKT,Economy,634.86,Meal,0,Confirmed,GateZI,B,ClaimCZK,5332.6,0,LOCCRQ,TypeGMY,Pilot_FFFC,Crew_RLXJ,True,Vegetarian,Not Available,True,False,False,0,True,Spirit Airlines
3317,BCNE,2023-01-04 08:22:14,2023-04-06 14:33:16,Name_YXHAE,SeatITH,Economy,620.32,Extra Baggage,0,Pending,GateOK,A,ClaimMTS,2214.2,1,LOCYCF,TypeCAQ,Pilot_EYYM,Crew_GNTC,False,Non-Vegetarian,Not Available,False,True,True,1,False,Frontier Airlines
5042,BQGA,2023-07-10 22:54:23,2023-09-25 00:54:26,Name_YKHQY,SeatRQY,Business,590.39,No Extras,0,Cancelled,GatePE,B,ClaimNDN,1826.0,2,LOCIZQ,TypeLSJ,Pilot_YZEJ,Crew_GKSL,False,Vegan,Available,True,False,True,2,False,British Airways
8485,BXKF,2023-05-19 03:11:03,2023-07-19 01:46:48,Name_JNAEO,SeatZLV,Economy,814.97,Meal,163,Confirmed,GateCX,D,ClaimIRB,1462.6,1,LOCVKG,TypeYYD,Pilot_HXQN,Crew_LVMR,False,Vegan,Available,True,False,False,1,True,Alaska Airlines
1375,BPNQ,2023-07-30 12:23:43,2023-12-14 04:07:22,Name_JOAXK,SeatZES,Economy,93.18,No Extras,3523,Cancelled,GateAM,D,ClaimJIT,3279.7,0,LOCKZX,TypeGDB,Pilot_ANOM,Crew_GGES,True,Vegan,Not Available,True,False,True,0,True,Emirates
1256,BONG,2023-10-24 08:29:20,2023-10-26 03:05:36,Name_RFBBQ,SeatOYR,First,484.26,Meal,0,Pending,GateGI,C,ClaimMAU,42.6,1,LOCNOJ,TypeWPY,Pilot_PHSH,Crew_OXHC,True,Vegan,Not Available,True,False,False,1,False,Delta Air Lines
1449,BJSG,2023-07-11 00:58:17,2023-10-08 04:00:10,Name_VETNL,SeatZXD,First,100.9,Meal,154,Cancelled,GateAB,A,ClaimHPX,2139.0,2,LOCNQH,TypeQPH,Pilot_GELJ,Crew_KPGG,False,Vegan,Not Available,True,False,False,2,True,Frontier Airlines
4212,BOXZ,2023-02-28 17:03:35,2023-08-01 16:08:39,Name_DIRJG,SeatNNM,Economy,806.0,Meal,0,Cancelled,GateEG,B,ClaimUQV,3695.1,2,LOCOPW,TypeLUH,Pilot_HFLU,Crew_RBLB,True,Vegetarian,Not Available,True,False,True,2,True,SkyWest Airlines
7175,BNOS,2023-01-18 05:55:40,2023-10-30 04:32:31,Name_EOZMN,SeatWHM,First,271.37,No Extras,0,Cancelled,GateTX,D,ClaimYCE,6838.6,1,LOCDIT,TypeHUO,Pilot_VBFQ,Crew_MUJQ,True,Vegetarian,Not Available,False,True,True,1,True,American Airline
6943,BUZP,2023-02-17 09:39:02,2023-12-24 09:33:08,Name_YDFOM,SeatAZQ,Economy,397.31,Extra Baggage,0,Cancelled,GateDJ,B,ClaimNDD,7439.9,2,LOCSOU,TypeRXY,Pilot_NCHV,Crew_GAUY,True,Non-Vegetarian,Available,False,True,False,2,False,Alaska Airlines
9026,BBBA,2023-04-04 20:46:21,2023-08-20 04:09:28,Name_MRQAD,SeatIIZ,Economy,361.56,No Extras,0,Pending,GateHU,A,ClaimSAS,3295.4,1,LOCJLQ,TypeYHU,Pilot_MPUM,Crew_YVBS,True,No Meal,Available,True,False,True,1,False,KLM Royal Dutch Airlines
8446,BPSD,2023-11-17 20:37:39,2023-12-26 18:54:30,Name_KYSMP,SeatQUK,Economy,940.22,No Extras,0,Confirmed,GateNX,B,ClaimEXU,934.3,2,LOCANZ,TypeADI,Pilot_MRAV,Crew_HNWR,True,Vegan,Available,False,True,True,2,False,Air Canada
2308,BCKX,2023-04-23 11:16:36,2023-04-27 15:45:25,Name_SOLWH,SeatNPD,Economy,372.06,Extra Baggage,0,Confirmed,GateED,C,ClaimWJA,100.5,0,LOCNVO,TypeWEL,Pilot_SBGH,Crew_XNVL,False,Vegetarian,Not Available,True,False,False,0,False,SkyWest Airlines
9339,BQEW,2023-07-01 13:03:38,2023-08-22 23:00:08,Name_VAVHE,SeatNJM,Economy,99.17,Extra Baggage,0,Pending,GateUY,B,ClaimYRJ,1257.9,0,LOCLMV,TypeTCI,Pilot_JTIX,Crew_IDGJ,True,Non-Vegetarian,Not Available,True,False,True,0,True,Allegiant Air
5016,BIAY,2023-04-18 09:59:45,2023-09-15 16:27:37,Name_XALDO,SeatKDB,Economy,85.7,Extra Baggage,1568,Cancelled,GateOL,A,ClaimJNK,3606.5,2,LOCDCI,TypeWXA,Pilot_IDMC,Crew_SINV,True,Non-Vegetarian,Available,True,False,False,2,True,United Airlines
4940,BIDP,2023-08-09 23:24:15,2023-12-30 13:45:44,Name_IJUMJ,SeatEPB,First,255.52,Extra Baggage,1419,Pending,GateXB,B,ClaimSRM,3422.4,1,LOCFFK,TypeKGR,Pilot_FSZI,Crew_QSFC,False,Non-Vegetarian,Not Available,True,False,False,1,True,British Airways
7713,BOJE,2023-01-01 11:49:41,2023-07-01 14:57:08,Name_JNSSY,SeatCHY,Business,135.1,Extra Baggage,0,Confirmed,GateWV,A,ClaimTJY,4347.1,2,LOCRAJ,TypeQXS,Pilot_NPWM,Crew_DINU,True,Vegan,Available,False,True,True,2,False,United Airlines
5071,BPFP,2023-01-31 10:03:45,2023-11-26 16:45:41,Name_AVVZX,SeatYWD,Business,804.19,Extra Baggage,0,Cancelled,GateVI,B,ClaimHBK,7182.7,1,LOCCYV,TypeSAE,Pilot_VQAP,Crew_CNBU,True,No Meal,Not Available,False,True,False,1,False,Air France
9107,BDVU,2023-06-12 15:25:47,2023-07-12 00:39:23,Name_HQWJA,SeatYQR,First,690.75,Extra Baggage,0,Pending,GateIQ,A,ClaimKAM,705.2,2,LOCTTN,TypeJKC,Pilot_NLSM,Crew_ZHDD,False,Non-Vegetarian,Available,True,False,False,2,True,KLM Royal Dutch Airlines
6912,BOCS,2023-07-01 12:46:22,2023-12-28 07:37:16,Name_HEBSY,SeatZNE,Business,786.92,Meal,0,Confirmed,GatePR,D,ClaimQRW,4314.8,0,LOCFIA,TypeGCN,Pilot_EJSK,Crew_GELR,False,Vegetarian,Available,True,False,True,0,True,British Airways
1442,BIEP,2023-06-26 23:21:17,2023-07-05 09:11:25,Name_BTWXK,SeatUEX,Business,555.84,Meal,0,Pending,GateSX,C,ClaimLRL,201.8,1,LOCTRU,TypeFJJ,Pilot_VWJO,Crew_ASMV,True,Vegetarian,Available,True,False,True,1,False,Qantas
3944,BCHX,2023-02-24 06:22:01,2023-08-05 22:08:32,Name_CZZIH,SeatJBZ,Economy,499.88,Meal,0,Confirmed,GateBA,D,ClaimMUS,3903.8,0,LOCTWC,TypePKN,Pilot_QVLY,Crew_FWUL,True,Vegan,Available,True,False,False,0,False,United Airlines
4936,BNCP,2023-02-21 05:17:55,2023-04-29 21:43:22,Name_FNHOZ,SeatIPU,First,393.88,No Extras,0,Pending,GateUX,A,ClaimMCL,1624.4,1,LOCDSP,TypeNTX,Pilot_DQMD,Crew_VYIJ,True,No Meal,Available,False,True,False,1,False,SkyWest Airlines
1398,BGIC,2023-11-28 05:28:46,2023-12-05 02:28:16,Name_XCWHV,SeatGYU,Business,822.8,No Extras,0,Pending,GateLY,D,ClaimCNP,165.0,0,LOCDPO,TypeAUJ,Pilot_TZDM,Crew_VJZF,False,Vegan,Not Available,False,True,False,0,True,Singapore Airlines
3995,BHLQ,2023-01-12 03:49:45,2023-08-01 00:25:55,Name_PFGMT,SeatDYH,First,51.68,No Extras,0,Confirmed,GateYB,D,ClaimYVG,4820.6,2,LOCQUG,TypeFHD,Pilot_GLCT,Crew_KFQT,False,Vegetarian,Available,True,False,False,2,True,SkyWest Airlines
7329,BNPS,2023-05-08 16:13:05,2023-12-17 04:37:39,Name_ZZISG,SeatCDY,Economy,539.74,No Extras,0,Cancelled,GateNS,D,ClaimKSH,5340.4,1,LOCYEQ,TypeFCM,Pilot_YGOJ,Crew_ZYCG,False,Non-Vegetarian,Available,True,False,True,1,False,KLM Royal Dutch Airlines
3216,BDCM,2023-06-20 23:56:04,2023-10-10 08:36:06,Name_PYXGO,SeatQPW,Business,405.04,No Extras,0,Pending,GateCB,D,ClaimONU,2672.7,2,LOCKWH,TypeDCL,Pilot_DYKZ,Crew_KVWV,False,Vegan,Available,False,True,True,2,False,United Airlines
2707,BIML,2023-06-08 07:12:03,2023-10-20 14:56:45,Name_EBBTE,SeatOZO,Business,196.39,Meal,0,Pending,GateBK,D,ClaimNZH,3223.7,2,LOCBJM,TypeKYN,Pilot_WKWH,Crew_PVJW,False,Vegan,Not Available,True,False,False,2,False,Alaska Airlines
6766,BZUO,2023-07-05 19:03:45,2023-10-13 11:00:53,Name_LDRTK,SeatSZW,Business,726.21,Meal,4586,Pending,GateZB,A,ClaimZWU,2392.0,1,LOCKUT,TypeTXB,Pilot_PFYD,Crew_OHRP,False,Non-Vegetarian,Available,True,False,False,1,True,Lufthansa
6677,BCCB,2023-04-28 12:04:29,2023-10-01 22:17:59,Name_UTFMZ,SeatYJK,Economy,304.76,Extra Baggage,650,Cancelled,GateQL,A,ClaimWVK,3754.2,2,LOCXIS,TypeIGG,Pilot_ZOLN,Crew_LTNT,False,Non-Vegetarian,Not Available,True,False,True,2,True,Emirates
3568,BZFY,2023-03-31 08:51:43,2023-05-03 20:18:34,Name_WEYDJ,SeatMLA,First,446.81,Meal,0,Pending,GateYL,A,ClaimHKE,803.4,0,LOCUTX,TypeJNZ,Pilot_NUHJ,Crew_QYOB,False,Vegetarian,Not Available,True,False,False,0,False,Qantas
8638,BPWR,2023-08-13 19:19:02,2023-09-29 07:46:07,Name_BZHTT,SeatDSV,Business,325.33,No Extras,0,Confirmed,GateQU,D,ClaimOQN,1116.5,2,LOCFGB,TypeTLC,Pilot_PWFY,Crew_ETPW,False,Non-Vegetarian,Not Available,True,False,False,2,False,Southwest Airlines
1160,BICW,2023-05-07 06:26:25,2023-10-27 21:32:18,Name_CITBQ,SeatDEM,Business,629.09,No Extras,492,Pending,GateAH,A,ClaimZOI,4167.1,0,LOCDBF,TypeVGU,Pilot_DXSW,Crew_ISXC,True,No Meal,Available,True,False,False,0,True,Air France
9067,BZWP,2023-06-26 13:14:30,2023-07-23 11:14:52,Name_AXQEM,SeatUSP,Business,60.31,No Extras,0,Confirmed,GateGG,D,ClaimNYJ,646.0,0,LOCBQC,TypeYUH,Pilot_DWMB,Crew_MLVH,False,Vegan,Not Available,False,True,True,0,False,SkyWest Airlines
4904,BDND,2023-04-27 11:57:07,2023-05-22 14:14:39,Name_HGWNH,SeatWVY,First,672.92,No Extras,0,Cancelled,GateJE,A,ClaimOPL,602.3,1,LOCDVA,TypeOSJ,Pilot_VHYL,Crew_QBUQ,False,Non-Vegetarian,Available,False,True,False,1,True,United Airlines
4573,BRRR,2023-06-08 03:52:30,2023-12-14 09:36:34,Name_KCERE,SeatUCU,Economy,442.49,Meal,0,Pending,GateTN,D,ClaimIPV,4541.7,2,LOCRAX,TypeHTI,Pilot_PMHD,Crew_AYFE,True,Vegetarian,Available,False,True,True,2,True,United Airlines
2825,BUCZ,2023-08-03 04:55:54,2023-11-01 08:16:03,Name_MEBZM,SeatKLJ,Business,728.53,Meal,0,Cancelled,GateGS,D,ClaimZFK,2163.3,1,LOCOUD,TypeUED,Pilot_HFJQ,Crew_KWDS,False,Vegetarian,Not Available,False,True,False,1,False,KLM Royal Dutch Airlines
6582,BGMG,2023-08-10 14:25:01,2023-09-22 12:21:47,Name_FQHQS,SeatYPU,Economy,846.96,Meal,0,Cancelled,GateKN,D,ClaimHOO,1029.9,1,LOCXOF,TypeEHH,Pilot_CJMO,Crew_ELLI,False,Vegan,Available,True,False,False,1,False,JetBlue Airways
2176,BVMX,2023-10-07 19:40:58,2023-10-17 15:59:47,Name_OARGG,SeatGKA,Business,538.53,Extra Baggage,0,Cancelled,GateZC,D,ClaimOJB,236.3,0,LOCRSE,TypeYMR,Pilot_UGLQ,Crew_RHHI,False,Non-Vegetarian,Not Available,False,True,False,0,True,Allegiant Air
5918,BDPY,2023-05-04 05:58:32,2023-07-21 06:49:44,Name_PKEUN,SeatNOW,Business,875.75,Meal,0,Confirmed,GateFL,A,ClaimGWO,1872.9,0,LOCYAN,TypeMZJ,Pilot_USVT,Crew_MVWG,False,Vegetarian,Available,True,False,False,0,True,Singapore Airlines
5880,BOMJ,2023-04-22 01:36:51,2023-06-30 13:24:44,Name_WZJEX,SeatDKE,First,176.63,No Extras,0,Pending,GateAS,B,ClaimALV,1667.8,2,LOCYSW,TypeLDP,Pilot_YRIU,Crew_TSZA,True,Vegan,Available,False,True,False,2,False,Southwest Airlines
4220,BJED,2023-07-31 05:33:58,2023-12-30 09:34:19,Name_SRZDW,SeatHXE,First,82.78,Extra Baggage,0,Confirmed,GateFX,D,ClaimRFZ,3652.0,0,LOCYQQ,TypeOGF,Pilot_SJXF,Crew_XSBC,False,Vegan,Available,False,True,True,0,False,Singapore Airlines
8820,BSOI,2023-09-01 10:57:22,2023-11-12 13:12:47,Name_ISKCK,SeatBFF,First,891.18,No Extras,0,Pending,GateDU,B,ClaimDYI,1730.3,2,LOCYOA,TypeXUV,Pilot_YCTV,Crew_VTGI,False,Vegan,Available,True,False,False,2,True,SkyWest Airlines
1130,BPDY,2023-01-30 07:25:26,2023-12-22 16:40:37,Name_GQWRZ,SeatQEN,Economy,161.93,No Extras,0,Pending,GateNU,A,ClaimXWN,7833.3,2,LOCKLK,TypeILV,Pilot_EHIB,Crew_KNVO,False,Non-Vegetarian,Not Available,True,False,True,2,False,Delta Air Lines
7659,BKQU,2023-06-29 11:44:43,2023-11-27 17:59:17,Name_OQZYQ,SeatDON,Business,222.0,Meal,0,Pending,GateWK,C,ClaimOQX,3630.2,2,LOCMXS,TypeGZL,Pilot_MUCB,Crew_RTTT,False,Vegan,Available,False,True,False,2,True,Allegiant Air
4562,BAIL,2023-03-24 21:12:52,2023-11-18 10:36:47,Name_XJOWP,SeatLAH,First,165.18,Extra Baggage,0,Cancelled,GateGF,B,ClaimNAB,5725.4,0,LOCAAW,TypeMKV,Pilot_IJAG,Crew_CTIR,False,Non-Vegetarian,Available,False,True,False,0,False,SkyWest Airlines
2499,BWLJ,2023-11-05 12:00:56,2023-11-23 02:44:22,Name_OZIUS,SeatXRZ,Business,212.79,Extra Baggage,0,Pending,GateVS,B,ClaimGZX,422.7,1,LOCEQA,TypeUDM,Pilot_WMYH,Crew_QVJO,False,No Meal,Available,True,False,True,1,False,KLM Royal Dutch Airlines
8430,BIUZ,2023-03-03 13:39:08,2023-09-20 23:12:27,Name_ABFXI,SeatKNY,First,904.14,Meal,0,Confirmed,GateSK,B,ClaimQGF,4833.6,1,LOCSHB,TypeOCD,Pilot_MPDH,Crew_WKMH,True,Non-Vegetarian,Available,False,True,True,1,False,Singapore Airlines
8705,BYTP,2023-06-10 09:45:07,2023-07-09 14:18:42,Name_XRAJD,SeatSSD,Business,855.53,Extra Baggage,0,Confirmed,GateVN,B,ClaimDJI,700.6,1,LOCFAY,TypePIN,Pilot_SHXM,Crew_QOGC,False,Vegan,Not Available,False,True,True,1,False,SkyWest Airlines
8626,BMCR,2023-08-27 04:00:25,2023-12-03 09:49:31,Name_NUZFT,SeatGRO,Business,302.24,Meal,0,Pending,GateUX,C,ClaimUKG,2357.8,2,LOCBWI,TypeYWB,Pilot_ACOG,Crew_LAZW,False,Vegetarian,Not Available,False,True,True,2,False,Lufthansa
7679,BDSY,2023-05-05 01:35:47,2023-08-01 09:28:59,Name_EOXJC,SeatJPO,Economy,719.4,Meal,0,Pending,GateML,C,ClaimZVI,2119.9,1,LOCPFJ,TypeDTA,Pilot_FJPL,Crew_GPDP,True,Vegetarian,Available,True,False,True,1,True,Delta Air Lines
3788,BMML,2023-08-17 06:39:09,2023-08-25 09:17:24,Name_QIIOR,SeatBID,Business,798.93,No Extras,2145,Confirmed,GateMZ,C,ClaimQAH,194.6,1,LOCMJH,TypeRFH,Pilot_FXKL,Crew_AQIP,False,Non-Vegetarian,Available,False,True,True,1,True,JetBlue Airways
5876,BXAB,2023-03-01 19:36:48,2023-12-12 14:00:03,Name_CHCSV,SeatGYW,Business,197.14,No Extras,0,Cancelled,GateAX,C,ClaimZRS,6858.4,0,LOCTGZ,TypeENI,Pilot_RMOT,Crew_GBCW,False,Vegan,Not Available,False,True,False,0,True,JetBlue Airways
4708,BCVU,2023-02-15 00:49:26,2023-04-13 00:04:12,Name_MVPGZ,SeatUQL,Business,266.76,No Extras,0,Confirmed,GateLK,C,ClaimDQP,1367.2,0,LOCQPG,TypeRAP,Pilot_WSXD,Crew_DUCZ,False,Vegetarian,Not Available,True,False,True,0,False,Singapore Airlines
2769,BUVM,2023-07-31 12:14:48,2023-10-11 02:50:08,Name_TEZSB,SeatYHU,First,503.92,No Extras,0,Cancelled,GateSZ,C,ClaimYPY,1718.6,0,LOCEUL,TypeIJP,Pilot_PBRL,Crew_YRGZ,False,No Meal,Not Available,False,True,False,0,True,Air Canada
7731,BLPN,2023-06-01 20:18:27,2023-06-30 23:22:31,Name_CCBPQ,SeatIXD,Business,654.79,Meal,0,Confirmed,GateEP,C,ClaimNYA,699.1,2,LOCKCI,TypeOGV,Pilot_AXLE,Crew_OCMI,False,Vegetarian,Not Available,False,True,True,2,True,Emirates
4044,BXNQ,2023-08-29 05:23:11,2023-11-25 15:26:25,Name_PPSQX,SeatBYM,Economy,449.75,No Extras,0,Pending,GateQC,B,ClaimHFY,2122.1,2,LOCPRG,TypeTTO,Pilot_HZIJ,Crew_LZLN,True,Non-Vegetarian,Not Available,True,False,True,2,True,Southwest Airlines
1375,BEFJ,2023-01-13 22:58:00,2023-06-05 15:49:25,Name_ELVLZ,SeatYGO,Economy,793.62,No Extras,0,Pending,GateLB,D,ClaimJNY,3424.9,0,LOCXGV,TypeSHT,Pilot_LQZW,Crew_NNOJ,True,Vegan,Available,False,True,False,0,False,Qantas
7347,BVIZ,2023-05-30 11:06:14,2023-07-16 23:40:06,Name_GGDFP,SeatHDZ,First,990.79,No Extras,0,Pending,GateQT,C,ClaimVOD,1140.6,2,LOCJGG,TypeTDX,Pilot_QSJC,Crew_BNIA,True,Vegetarian,Not Available,True,False,False,2,True,Allegiant Air
4036,BGDW,2023-04-23 05:43:01,2023-06-15 10:51:09,Name_HFWSY,SeatDKQ,Business,871.56,Meal,0,Cancelled,GateZL,A,ClaimIZK,1277.1,0,LOCYIC,TypeCVB,Pilot_QHQF,Crew_MNDT,True,Vegetarian,Available,True,False,False,0,True,Alaska Airlines
9852,BGKF,2023-03-15 12:34:32,2023-12-22 15:36:58,Name_JPBNK,SeatMIJ,Economy,858.99,Extra Baggage,0,Cancelled,GateLL,B,ClaimRAS,6771.0,1,LOCUAN,TypeAZQ,Pilot_GTAF,Crew_HEQZ,False,No Meal,Not Available,False,True,True,1,False,Lufthansa
7218,BPPX,2023-04-22 01:07:05,2023-04-22 06:26:58,Name_XXBYC,SeatIUN,First,241.51,Meal,0,Pending,GateXH,D,ClaimPPG,5.3,2,LOCYSB,TypeQED,Pilot_LTXA,Crew_WJMU,False,Vegetarian,Available,True,False,True,2,True,SkyWest Airlines
1740,BXMZ,2023-05-02 09:12:40,2023-12-25 10:17:05,Name_ZVKDN,SeatWCH,First,909.23,Meal,0,Cancelled,GateHH,B,ClaimCPL,5689.1,2,LOCXYK,TypePXV,Pilot_AEDE,Crew_ZQTJ,False,Vegan,Available,True,False,True,2,True,SkyWest Airlines
